query_type,api_type,count,mean,std,median,q1,q3,iqr
complex,graphql,1499,1087.0424189459638,596.2036330442753,1013.85,824.239,1211.972,387.73299999999995
complex,rest,1482,9811.675890013496,1229.1760005509784,9515.266,9043.13375,10247.3255,1204.19175
medium,graphql,1500,658.5757073333333,180.41478853907412,645.9225,603.81375,699.00925,95.19549999999992
medium,rest,1500,1248.5150533333333,308.62869482458393,1211.1975,1125.43875,1319.82,194.3812499999999
simple,graphql,1500,819.4841739999999,410.31490814600147,676.3675000000001,593.36825,896.8335000000001,303.4652500000001
simple,rest,1500,470.7818226666667,80.47375080356417,461.661,423.29825000000005,502.7825,79.48424999999997
